Titre	Auteur	URL	Nom fichier	URL source année fin écriture	Année fin écriture	Nom auteur	Id auteur wikidata	URI œuvre data.bnf	Nb tokens	Nb words	Licence
Les Chouans	Honoré de Balzac	http://biolographes.free.fr/titres.php	1829_Les_Chouans	https://ebalzac.com	1829	Balzac	Q9711	http://data.bnf.fr/ark:/12148/cb12288434s#about	112090	120233	Domaine public
Gobseck	Honoré de Balzac	http://biolographes.free.fr/titres.php	1830_Gobseck	https://ebalzac.com	1830	Balzac	Q9711		20696	22207	Domaine public
La Maison du chat-qui-pelote	Honoré de Balzac	http://biolographes.free.fr/titres.php	1830_La_Maison_du_chat-qui-pelote	https://ebalzac.com	1830	Balzac	Q9711	http://data.bnf.fr/ark:/12148/cb13614206d#about	20599	22036	Domaine public
La Vendetta	Honoré de Balzac	http://biolographes.free.fr/titres.php	1830_La_Vendetta	https://ebalzac.com	1830	Balzac	Q9711		24682	26459	Domaine public
Le Bal de Sceaux	Honoré de Balzac	http://biolographes.free.fr/titres.php	1830_Le_Bal_de_Sceaux	https://ebalzac.com	1830	Balzac	Q9711	http://data.bnf.fr/ark:/12148/cb136142052#about	21152	22753	Domaine public
Une double famille	Honoré de Balzac	http://biolographes.free.fr/titres.php	1830_Une_double_famille	https://ebalzac.com	1830	Balzac	Q9711	http://data.bnf.fr/ark:/12148/cb13614207r#about	25760	27701	Domaine public
Indiana	George Sand	https://beq.ebooksgratuits.com/vents-epub/Sand_Indiana.epub	1831_Indiana	https://fr.wikisource.org/wiki/Indiana/Texte_entier	1831	Sand	Q3816	http://data.bnf.fr/ark:/12148/cb14555066r#about	88915	98307	Domaine public
L'Enfant maudit	Honoré de Balzac	http://biolographes.free.fr/titres.php	1831_L_Enfant_maudit	https://ebalzac.com	1831	Balzac	Q9711		36024	38436	Domaine public
La Peau de chagrin	Honoré de Balzac	http://biolographes.free.fr/titres.php	1831_La_Peau_de_chagrin	https://ebalzac.com	1831	Balzac	Q9711	http://data.bnf.fr/ark:/12148/cb119393652#about	90144	95577	Domaine public
Maître Cornélius	Honoré de Balzac	http://biolographes.free.fr/titres.php	1831_Maitre_Cornelius	https://ebalzac.com	1831	Balzac	Q9711	http://data.bnf.fr/ark:/12148/cb12136673j#about	21735	22995	Domaine public
La Femme de trente ans	Honoré de Balzac	http://biolographes.free.fr/titres.php	1832_La_Femme_de_trente_ans	https://ebalzac.com	1832	Balzac	Q9711	http://data.bnf.fr/ark:/12148/cb123558848#about	66072	70485	Domaine public
Le Colonel Chabert	Honoré de Balzac	http://biolographes.free.fr/titres.php	1832_Le_Colonel_Chabert	https://ebalzac.com	1832	Balzac	Q9711	http://data.bnf.fr/ark:/12148/cb12006825f#about	23091	24654	Domaine public
